厨卫类	锅、擀面杖、高压锅；
办公类	钢尺、广告单、广告用纸、广告纸片、公文包；
茶饮类	果冻杯、隔热杯套、干净饮料瓶、果酱瓶、果茶罐；
娱乐类	高尔夫球杆、橄榄球、钢琴、光驱、购物卡；
餐食类	罐头瓶；
穿搭类	干发帽、高跟鞋；
其他类	钢化玻璃、钢化膜；
厨卫类	环保袋、环保布质垃圾袋、合金筷子；
客厅类	花洒软管；
卧室类	花露水玻璃瓶、花露水塑料瓶；
办公类	黑板、海报、画框；
茶饮类	红酒瓶；
娱乐类	滑板、呼啦圈、话筒、会员卡；
餐食类	黄桃罐头、蚝油瓶；
美妆类	护肤品玻璃罐、护肤品瓶、护肤乳液瓶、护发素瓶、化妆品玻璃瓶、化妆品外包装纸盒、化妆水瓶、化妆品瓶；
其他类	黄金；
厨卫类	搅拌器、酱菜瓶、鸡蛋包装盒、鸡蛋盒、鸡蛋塑料保护壳、旧塑料篮子、酱油玻璃瓶、酱油瓶、剪刀、洁厕灵瓶子、脚垫、旧剪刀、脚盆、金属晾衣杆、金属拖把杆、净水器、卷筒纸内芯、卷纸芯；
客厅类	旧报纸、家电家具、旧锁、金属门吸、金属钥匙扣；
卧室类	旧被单、旧窗帘、节能灯插座、加湿器、金属香炉、旧枕头；
办公类	旧书、计算器、金属文件柜、旧纸袋；
茶饮类	即冲奶茶包装盒、酒瓶、金属瓶盖；
娱乐类	机顶盒、键盘、健身器材、金属鱼钩、金属鱼竿、交通卡、旧玩具、旧玩偶、旧瑜伽垫；
穿搭类	旧布鞋、旧帽子、旧皮鞋、旧书包、旧跑鞋、旧手提包、旧拖鞋、旧鞋子、旧衣服；
美妆类	精华玻璃瓶、酒精瓶、金戒指、洁面仪、金属饰品盒、金手链、黄金饰品、金项链；
其他类	金器、金属管、金属夹、金属地漏、金属零件、金属罐、金属盒、金属制品；
客厅类	空调机、开关；
卧室类	靠垫、空气净化器过滤网、靠枕；
办公类	课本、快递盒、快递纸袋、快递纸箱、卡纸；
茶饮类	咖啡杯套、咖啡隔热纸、可乐罐、可乐玻璃瓶、矿泉水瓶盖、矿泉水瓶、矿泉水桶；
餐食类	口香糖塑料盒；
穿搭类	裤子；
厨卫类	铝箔纸、铝箔袋、料酒瓶、垃圾桶、垃圾箱、铝膜、辣酱瓶子；
客厅类	LED手电筒、螺钉、铃铛、螺丝、螺丝刀、螺丝钉、榔头、脸盆、螺纹盖、螺纹帽、晾衣架；
办公类	练习册；
茶饮类	利乐包装、铝盖；
娱乐类	溜冰鞋、篮球、蓝牙耳机、路由器；
穿搭类	拉杆箱、凉鞋、旅行箱、连衣裙；
美妆类	脸摩仪；
厨卫类	木筷、麻油瓶、煤气罐、木勺、马桶盖、木质锅铲、沐浴露瓶、木质花架、木质砧板、木质拖把杆；
客厅类	棉布、棉签盒、木梳、毛线、棉线、木质猫爬架、幕布；
卧室类	棉被、棉花被、绵拖鞋、毛毯、毛线；
办公类	美工刀、名片、墨汁瓶；
娱乐类	MP3、木盒、木积木、麦克风、毛绒玩具、木质拼版；
餐食类	猫罐头、蜜饯塑料罐、蜂蜜罐；
美妆类	美肤仪、蜜蜡、面霜瓶；
其他类	木板、木棒、木凳、灭火器、木棍、毛皮、木头、木条、内存卡、内存条；

